event,event_name,position,athelete,country,mark
Hammer Throw men,10th IAAF World Championships in Athletics,1,Vadim Devyatovskiy,BLR,82.60
Hammer Throw men,10th IAAF World Championships in Athletics,2,Szymon Ziólkowski,POL,79.35
Hammer Throw men,10th IAAF World Championships in Athletics,3,Markus Esser,GER,79.16
Hammer Throw men,10th IAAF World Championships in Athletics,4,Olli-Pekka Karjalainen,FIN,78.77
Hammer Throw men,10th IAAF World Championships in Athletics,5,Ilya Konovalov,RUS,78.59
Hammer Throw men,10th IAAF World Championships in Athletics,6,Krisztián Pars,HUN,78.03
Hammer Throw men,10th IAAF World Championships in Athletics,7,Vadim Khersontsev,RUS,77.59
Hammer Throw men,10th IAAF World Championships in Athletics,8,Libor Charfreitag,SVK,76.05
Hammer Throw men,10th IAAF World Championships in Athletics,9,Andriy Skvaruk,UKR,76.01
Hammer Throw men,10th IAAF World Championships in Athletics,10,Holger Klose,GER,74.80
