,event,position,athelete,country,mark,sex,event_number
0,"10,000 Metres",1,KENENISA BEKELE,ETH,27:05.90,men,11
1,"10,000 Metres",2,SILESHI SIHINE,ETH,27:09.03,men,11
2,"10,000 Metres",3,MARTIN IRUNGU MATHATHI,KEN,27:12.17,men,11
3,"10,000 Metres",4,ZERSENAY TADESE,ERI,27:21.37,men,11
4,"10,000 Metres",5,JOSPHAT MUCHIRI NDAMBIRI,KEN,27:31.41,men,11
5,"10,000 Metres",6,GEBREGZIABHER GEBREMARIAM,ETH,27:44.58,men,11
6,"10,000 Metres",7,ABDI ABDIRAHMAN,USA,27:56.62,men,11
7,"10,000 Metres",8,JOSPHAT KIPRONO MENJO,KEN,28:25.67,men,11
8,"10,000 Metres",9,DATHAN RITZENHEIN,USA,28:28.59,men,11
9,"10,000 Metres",10,BONIFACE TOROITICH KIPROP,UGA,28:30.99,men,11
10,"10,000 Metres",11,GALEN RUPP,USA,28:41.71,men,11
11,"10,000 Metres",12,KENSUKE TAKEZAWA,JPN,28:51.69,men,11
12,"10,000 Metres",13,TADESE TOLA,ETH,28:51.75,men,11
13,"10,000 Metres",14,ALEJANDRO SUÁREZ,MEX,28:52.19,men,11
14,"10,000 Metres",15,WILSON KIPKEMEI BUSIENEI,UGA,29:24.72,men,11
15,"10,000 Metres",16,DICKSON MARWA,TAN,29:25.91,men,11
16,"10,000 Metres",17,KAZUHIRO MAEDA,JPN,29:48.17,men,11
17,"10,000 Metres",18,MICHAEL AISH,NZL,30:34.16,men,11
0,Marathon,1,ROBERT DE CASTELLA,AUS,2:10:03,men,1
1,Marathon,2,KEBEDE BALCHA,ETH,2:10:27,men,1
2,Marathon,3,WALDEMAR CIERPINSKI,GDR,2:10:37,men,1
3,Marathon,4,KJELL-ERIK STÅHL,SWE,2:10:38,men,1
4,Marathon,5,AGAPIUS MASONG,TAN,2:10:42,men,1
5,Marathon,6,ARMAND PARMENTIER,BEL,2:10:57,men,1
6,Marathon,7,PIER GIOVANNI POLI,ITA,2:11:05,men,1
7,Marathon,8,HUGH JONES,GBR,2:11:15,men,1
8,Marathon,9,KAREL LISMONT,BEL,2:11:24,men,1
9,Marathon,10,STIG ROAR HUSBY,NOR,2:11:29,men,1
10,Marathon,11,ART BOILEAU,CAN,2:11:30,men,1
11,Marathon,12,JUAN CARLOS TRASPADERNE,ESP,2:11:34,men,1
12,Marathon,13,MARCO MARCHEI,ITA,2:11:47,men,1
13,Marathon,14,PERTTI TIAINEN,FIN,2:12:11,men,1
14,Marathon,15,JUMA IKANGAA,TAN,2:13:11,men,1
15,Marathon,16,RYSZARD MARCZAK,POL,2:13:20,men,1
16,Marathon,17,SVEND ERIK KRISTENSEN,DEN,2:13:34,men,1
17,Marathon,18,RON TABB,USA,2:13:38,men,1
18,Marathon,19,HENRIK JØRGENSEN,DEN,2:14:10,men,1
19,Marathon,20,HANS JOACHIM TRUPPEL,GDR,2:14:20,men,1
20,Marathon,21,RICARDO ORTEGA,ESP,2:14:46,men,1
21,Marathon,22,TOMMY PERSSON,SWE,2:14:57,men,1
22,Marathon,23,BRUNO LAFRANCHI,SUI,2:14:58,men,1
23,Marathon,24,DAVE EDGE,CAN,2:15:43,men,1
24,Marathon,25,YURIY PLESHKOV,URS,2:15:50,men,1
25,Marathon,26,ØYVIND DAHL,NOR,2:16:02,men,1
26,Marathon,27,PAUL BALLINGER,NZL,2:16:06,men,1
27,Marathon,28,JÜRGEN EBERDING,GDR,2:16:55,men,1
28,Marathon,29,GERARD NIJBOER,NED,2:16:59,men,1
29,Marathon,30,FREDERIK VANDERVENNET,BEL,2:17:11,men,1
30,Marathon,31,TREVOR WRIGHT,NZL,2:17:31,men,1
31,Marathon,32,MEHMET TERZI,TUR,2:17:56,men,1
32,Marathon,33,DELFIM MOREIRA,POR,2:18:27,men,1
33,Marathon,34,JONG-HYONG LI,PRK,2:18:51,men,1
34,Marathon,35,YOSHIHIRO NISHIMURA,JPN,2:18:56,men,1
35,Marathon,36,CIDALIO CAETANO,POR,2:19:21,men,1
36,Marathon,37,JOHN SKOVBJERG,DEN,2:19:44,men,1
37,Marathon,38,JEFF COOLE,AUS,2:20:25,men,1
38,Marathon,39,BENJI DURDEN,USA,2:20:38,men,1
39,Marathon,40,CHANG-SIK SO,PRK,2:20:43,men,1
40,Marathon,41,WILSON THELESO,BOT,2:21:36,men,1
41,Marathon,42,HIDEKI KITA,JPN,2:21:37,men,1
42,Marathon,43,BAIKUNTHA MANANDHAR,NEP,2:21:43,men,1
43,Marathon,44,HENRIK SANDSTROM,FIN,2:21:56,men,1
44,Marathon,45,RUDI VERRIET,NED,2:22:07,men,1
45,Marathon,46,DOMINIQUE CHAUVELIER,FRA,2:23:25,men,1
46,Marathon,47,DJAMA ROBLEH,DJI,2:24:04,men,1
47,Marathon,48,GERRY HELME,GBR,2:25:02,men,1
48,Marathon,49,SAM HLAWE,SWZ,2:26:42,men,1
49,Marathon,50,JAN-IWAR WESTLUND,SWE,2:27:05,men,1
50,Marathon,51,CARLOS CARVAJAL,CHI,2:27:30,men,1
51,Marathon,52,DON GREIG,NZL,2:27:37,men,1
52,Marathon,53,LUIS TIPAN,ECU,2:28:30,men,1
53,Marathon,54,PALMIRENO CAMPOS,BRA,2:29:41,men,1
54,Marathon,55,JAN FJAERESTAD,NOR,2:30:58,men,1
55,Marathon,56,TAVARES SILVA,POR,2:31:31,men,1
56,Marathon,57,SYRJA DALIPI,ALB,2:31:40,men,1
57,Marathon,58,RAYMOND SWAN,BER,2:33:20,men,1
58,Marathon,59,CHANG-MING CHEN,TPE,2:34:00,men,1
59,Marathon,60,AGUST THORSTEINSSON,ISL,2:34:05,men,1
60,Marathon,61,JOSÉ JAIME HERNANDEZ,ESA,2:34:26,men,1
61,Marathon,62,MICHAEL LEKHELSI,LES,2:52:01,men,1
62,Marathon,63,SAID TOUMANE,COM,3:03:10,men,1
0,High Jump,1,JACQUES FREITAG,RSA,2.35,men,9
1,High Jump,2,STEFAN HOLM,SWE,2.32,men,9
2,High Jump,3,MARK BOSWELL,CAN,2.32,men,9
3,High Jump,4,MIKHAIL TSVETKOV,RUS,2.29,men,9
4,High Jump,5,GERMAINE MASON,JAM,2.29,men,9
5,High Jump,6,GRZEGORZ SPOSÓB,POL,2.29,men,9
6,High Jump,7,JAMIE NIETO,USA,2.29,men,9
7,High Jump,8,ANDRIY SOKOLOVSKYY,UKR,2.29,men,9
8,High Jump,9,YAROSLAV RYBAKOV,RUS,2.25,men,9
9,High Jump,10,ALEKSANDER WALERIANCZYK,POL,2.25,men,9
10,High Jump,11,JAROSLAV BÁBA,CZE,2.25,men,9
11,High Jump,12,MATT HEMINGWAY,USA,2.25,men,9
12,High Jump,13,ROMAN FRICKE,GER,2.2,men,9
0,800 Metres,1,JANETH JEPKOSGEI BUSIENEI,KEN,1:56.04,women,11
1,800 Metres,2,HASNA BENHASSI,MAR,1:56.99,women,11
2,800 Metres,3,MAYTE MARTÍNEZ,ESP,1:57.62,women,11
3,800 Metres,4,OLGA KOTLYAROVA,RUS,1:58.22,women,11
4,800 Metres,5,BRIGITA LANGERHOLC,SLO,1:58.52,women,11
5,800 Metres,6,SVIATLANA USOVICH,BLR,1:58.92,women,11
6,800 Metres,7,SVETLANA KLYUKA,RUS,2:00.90,women,11
0,800 Metres,1,ALFRED KIRWA YEGO,KEN,1:47.09,men,11
1,800 Metres,2,GARY REED,CAN,1:47.10,men,11
2,800 Metres,3,YURIY BORZAKOVSKIY,RUS,1:47.39,men,11
3,800 Metres,4,ABRAHAM CHEPKIRWOK,UGA,1:47.41,men,11
4,800 Metres,5,WILFRED BUNGEI,KEN,1:47.42,men,11
5,800 Metres,6,AMINE LAALOU,MAR,1:47.45,men,11
6,800 Metres,7,MBULAENI MULAUDZI,RSA,1:47.52,men,11
7,800 Metres,8,MOHAMMED OBAID AL-SALHI,KSA,1:47.58,men,11
0,Long Jump,1,BRITTNEY REESE,USA,6.82,women,13
1,Long Jump,2,INETA RADEVIČA,LAT,6.76,women,13
2,Long Jump,3,NASTASSIA MIRONCHYK-IVANOVA,BLR,6.74,women,13
3,Long Jump,4,CAROLINA KLÜFT,SWE,6.56,women,13
4,Long Jump,5,JANAY DELOACH,USA,6.56,women,13
5,Long Jump,6,DARYA KLISHINA,RUS,6.5,women,13
6,Long Jump,7,KARIN MEY MELIS,TUR,6.44,women,13
7,Long Jump,8,MAYOOKHA JOHNY,IND,6.37,women,13
8,Long Jump,9,NAIDE GOMES,POR,6.26,women,13
9,Long Jump,10,MAURREN HIGA MAGGI,BRA,6.17,women,13
0,Shot Put,1,VALERIE ADAMS,NZL,21.24,women,13
1,Shot Put,2,JILLIAN CAMARENA-WILLIAMS,USA,20.02,women,13
2,Shot Put,3,LIJIAO GONG,CHN,19.97,women,13
3,Shot Put,4,EVGENIIA KOLODKO,RUS,19.78,women,13
4,Shot Put,5,LING LI,CHN,19.71,women,13
5,Shot Put,6,ANNA AVDEEVA,RUS,19.54,women,13
6,Shot Put,7,NADINE KLEINERT,GER,19.26,women,13
7,Shot Put,8,MICHELLE CARTER,USA,18.76,women,13
8,Shot Put,9,NATALLIA MIKHNEVICH,BLR,18.47,women,13
9,Shot Put,10,CHRISTINA SCHWANITZ,GER,17.96,women,13
10,Shot Put,11,CLEOPATRA BOREL,TTO,17.62,women,13
0,Discus Throw,1,LARS RIEDEL,GER,68.76,men,5
1,Discus Throw,2,VLADIMIR DUBROVSHCHIK,BLR,65.98,men,5
2,Discus Throw,3,VASILI KAPTYUKH,BLR,65.88,men,5
3,Discus Throw,4,ATTILA HORVÁTH,HUN,65.72,men,5
4,Discus Throw,5,JÜRGEN SCHULT,GER,64.44,men,5
5,Discus Throw,6,ADEWALE OLUKOJU,NGR,63.66,men,5
6,Discus Throw,7,ALEXIS ELIZALDE,CUB,63.28,men,5
7,Discus Throw,8,DMITRIY SHEVCHENKO,RUS,63.18,men,5
8,Discus Throw,9,ROBERT WEIR,GBR,63.14,men,5
9,Discus Throw,10,JOHN GODINA,USA,60.84,men,5
10,Discus Throw,11,MIKE BUNCIC,USA,60.24,men,5
11,Discus Throw,12,STEFAN FERNHOLM,SWE,59.52,men,5
0,5000 Metres,1,SONIA O'SULLIVAN,IRL,14:46.47,women,5
1,5000 Metres,2,FERNANDA RIBEIRO,POR,14:48.54,women,5
2,5000 Metres,3,ZAHRA OUAZIZ,MAR,14:53.77,women,5
3,5000 Metres,4,GABRIELA SZABO,ROU,14:56.57,women,5
4,5000 Metres,5,PAULA RADCLIFFE,GBR,14:57.02,women,5
5,5000 Metres,6,MARIYA KONOVALOVA,RUS,15:01.23,women,5
6,5000 Metres,7,ROSE CHERUIYOT,KEN,15:02.45,women,5
7,5000 Metres,8,GWEN GRIFFITHS-VAN LINGEN,RSA,15:08.05,women,5
8,5000 Metres,9,SARA WEDLUND,SWE,15:08.36,women,5
9,5000 Metres,10,ELENA FIDATOV,ROU,15:12.58,women,5
10,5000 Metres,11,SALLY BARSOSIO,KEN,15:39.57,women,5
11,5000 Metres,12,MICHIKO SHIMIZU,JPN,15:45.30,women,5
12,5000 Metres,13,FLORENCE BARSOSIO,KEN,15:56.96,women,5
0,High Jump,1,ELEANOR PATTERSON,AUS,2.02,women,-26
1,High Jump,2,YAROSLAVA MAHUCHIKH,UKR,2.02,women,-26
2,High Jump,3,ELENA VALLORTIGARA,ITA,2.0,women,-26
3,High Jump,4,IRYNA GERASHCHENKO,UKR,2.0,women,-26
4,High Jump,5,NICOLA OLYSLAGERS,AUS,1.96,women,-26
5,High Jump,5,SAFINA SADULLAYEVA,UZB,1.96,women,-26
6,High Jump,7,KARMEN BRUUS,EST,1.96,women,-26
7,High Jump,8,NADEZHDA DUBOVITSKAYA,KAZ,1.96,women,-26
8,High Jump,9,LAMARA DISTIN,JAM,1.93,women,-26
9,High Jump,10,DANIELA STANCIU,ROU,1.93,women,-26
10,High Jump,11,KIMBERLY WILLIAMSON,JAM,1.89,women,-26
11,High Jump,12,LIA APOSTOLOVSKI,SLO,1.89,women,-26
0,200 Metres,1,SHERICKA JACKSON,JAM,21.45,women,-26
1,200 Metres,2,SHELLY-ANN FRASER-PRYCE,JAM,21.81,women,-26
2,200 Metres,3,DINA ASHER-SMITH,GBR,22.02,women,-26
3,200 Metres,4,AMINATOU SEYNI,NIG,22.12,women,-26
4,200 Metres,5,ABBY STEINER,USA,22.26,women,-26
5,200 Metres,6,TAMARA CLARK,USA,22.32,women,-26
6,200 Metres,7,ELAINE THOMPSON-HERAH,JAM,22.39,women,-26
7,200 Metres,8,MUJINGA KAMBUNDJI,SUI,22.55,women,-26
0,800 Metres,1,ZULIA CALATAYUD,CUB,1:58.82,women,10
1,800 Metres,2,HASNA BENHASSI,MAR,1:59.42,women,10
2,800 Metres,3,TATYANA ANDRIANOVA,RUS,1:59.60,women,10
3,800 Metres,4,MARIA DE LURDES MUTOLA,MOZ,1:59.71,women,10
4,800 Metres,5,MAYTE MARTÍNEZ,ESP,1:59.99,women,10
5,800 Metres,6,LARISA CHZHAO,RUS,2:00.25,women,10
6,800 Metres,7,SVETLANA CHERKASOVA,RUS,2:00.71,women,10
7,800 Metres,8,HAZEL CLARK,USA,2:01.52,women,10
0,"10,000 Metres",1,SIFAN HASSAN,NED,30:17.62,women,-29
1,"10,000 Metres",2,LETESENBET GIDEY,ETH,30:21.23,women,-29
2,"10,000 Metres",3,AGNES JEBET TIROP,KEN,30:25.20,women,-29
3,"10,000 Metres",4,ROSEMARY MONICA WANJIRU,KEN,30:35.75,women,-29
4,"10,000 Metres",5,HELLEN OBIRI,KEN,30:35.82,women,-29
5,"10,000 Metres",6,SENBERE TEFERI,ETH,30:44.23,women,-29
6,"10,000 Metres",7,SUSAN KRUMINS,NED,31:05.40,women,-29
7,"10,000 Metres",8,MARIELLE HALL,USA,31:05.71,women,-29
8,"10,000 Metres",9,MOLLY HUDDLE,USA,31:07.24,women,-29
9,"10,000 Metres",10,EMILY SISSON,USA,31:12.56,women,-29
10,"10,000 Metres",11,HITOMI NIIYA,JPN,31:12.99,women,-29
11,"10,000 Metres",12,CAMILLE BUSCOMB,NZL,31:13.21,women,-29
12,"10,000 Metres",13,ELLIE PASHLEY,AUS,31:18.89,women,-29
13,"10,000 Metres",14,SINEAD DIVER,AUS,31:25.49,women,-29
14,"10,000 Metres",15,STEPHANIE TWELL,GBR,31:44.79,women,-29
15,"10,000 Metres",16,STELLA CHESANG,UGA,32:15.20,women,-29
